,id,base_currency,quote_currency,base_min_size,base_max_size,quote_increment,base_increment,display_name,min_market_funds,max_market_funds,margin_enabled,fx_stablecoin,max_slippage_percentage,post_only,limit_only,cancel_only,trading_disabled,status,status_message,auction_mode
152,XYO-BTC,XYO,BTC,100,27000000,0.00000001,0.1,XYO/BTC,0.0001,2,False,False,0.10000000,False,True,False,False,online,,False
153,BTC-GBP,BTC,GBP,0.0001,80,0.01,0.00000001,BTC/GBP,10,900000,False,False,0.10000000,False,False,False,False,online,,False
154,USDC-EUR,USDC,EUR,1,250000,0.001,0.01,USDC/EUR,5.0,100000,False,True,0.01000000,False,False,False,False,online,,False
155,LINK-ETH,LINK,ETH,0.1,90000,0.00000001,0.01,LINK/ETH,0.01,400,False,False,0.10000000,False,False,False,False,online,,False
156,YFI-BTC,YFI,BTC,0.00001,4.2,0.00001,0.000001,YFI/BTC,0.0001,6.0,False,False,0.10000000,False,False,False,False,online,,False
157,REP-BTC,REP,BTC,0.1,5000,0.000001,0.000001,REP/BTC,0.001,6,False,False,0.10000000,False,False,False,False,online,,False
158,BTC-EUR,BTC,EUR,0.0001,200,0.01,0.00000001,BTC/EUR,10,1500000,False,False,0.10000000,False,False,False,False,online,,False
159,ADA-GBP,ADA,GBP,1,250000,0.0001,0.01,ADA/GBP,5.0,100000,False,False,0.10000000,False,False,False,False,online,,False
160,BTC-USDT,BTC,USDT,0.0001,280,0.01,0.00000001,BTC/USDT,5,1000000,False,False,0.10000000,False,False,False,False,online,,False
161,ICP-USDT,ICP,USDT,0.001,7000,0.001,0.0001,ICP/USDT,5,500000,False,False,0.10000000,False,False,False,False,online,,False
162,WBTC-BTC,WBTC,BTC,0.0001,20,0.0001,0.00000001,WBTC/BTC,0.0001,20,False,True,0.01000000,False,False,False,False,online,,False
163,LRC-USD,LRC,USD,1,560000,0.0001,0.000001,LRC/USD,1.0,100000,False,False,0.10000000,False,False,False,False,online,,False
164,BNT-EUR,BNT,EUR,1,95000,0.0001,0.000001,BNT/EUR,1.0,92000,False,False,0.10000000,False,False,False,False,online,,False
165,STORJ-USD,STORJ,USD,1,280000,0.0001,0.01,STORJ/USD,5,100000,False,False,0.10000000,False,False,False,False,online,,False
166,REQ-GBP,REQ,GBP,10,3700000,0.00001,1,REQ/GBP,5,100000,False,False,0.10000000,False,False,False,False,online,,False
167,ALGO-GBP,ALGO,GBP,1,500000,0.0001,1,ALGO/GBP,10,100000,False,False,0.10000000,False,False,False,False,online,,False
168,SKL-EUR,SKL,EUR,5,1000000,0.0001,0.1,SKL/EUR,5.0,100000,False,False,0.10000000,False,False,False,False,online,,False
169,DNT-USDC,DNT,USDC,1,10000000,0.000001,1,DNT/USDC,0.1,100000,False,False,0.10000000,False,False,False,False,online,,False
170,FX-USD,FX,USD,1,350000,0.0001,0.1,FX/USD,5,100000,False,False,0.10000000,False,False,False,False,online,,False
171,SOL-EUR,SOL,EUR,0.01,6000,0.001,0.001,SOL/EUR,5.0,100000,False,False,0.10000000,False,False,False,False,online,,False
172,CGLD-GBP,CGLD,GBP,0.1,34000,0.0001,0.01,CGLD/GBP,1.0,100000,False,False,0.10000000,False,False,False,False,online,,False
173,DDX-USDT,DDX,USDT,0.1,60000,0.01,0.01,DDX/USDT,5,100000,False,False,0.10000000,False,True,False,False,online,,False
174,SUSHI-GBP,SUSHI,GBP,0.1,12500,0.001,0.01,SUSHI/GBP,5.0,100000,False,False,0.10000000,False,False,False,False,online,,False
175,NMR-GBP,NMR,GBP,0.01,3900,0.0001,0.001,NMR/GBP,1.0,100000,False,False,0.10000000,False,False,False,False,online,,False
