,id,base_currency,quote_currency,base_min_size,base_max_size,quote_increment,base_increment,display_name,min_market_funds,max_market_funds,margin_enabled,fx_stablecoin,max_slippage_percentage,post_only,limit_only,cancel_only,trading_disabled,status,status_message,auction_mode
292,FIL-BTC,FIL,BTC,0.01,3400,0.00000001,0.001,FIL/BTC,0.0001,6,False,False,0.10000000,False,False,False,False,online,,False
293,OMG-GBP,OMG,GBP,1,150000,0.0001,0.1,OMG/GBP,1,100000,False,False,0.10000000,False,False,False,False,online,,False
294,SOL-USDT,SOL,USDT,0.01,6000,0.001,0.001,SOL/USDT,5.0,100000,False,False,0.10000000,False,False,False,False,online,,False
295,GRT-EUR,GRT,EUR,10,2500000,0.0001,0.01,GRT/EUR,10.0,92000,False,False,0.10000000,False,False,False,False,online,,False
296,MANA-ETH,MANA,ETH,0.1,220000,0.000001,0.01,MANA/ETH,0.002,100,False,False,0.10000000,False,False,False,False,online,,False
297,ETH-DAI,ETH,DAI,0.001,700,0.01,0.0001,ETH/DAI,10,200000,False,False,0.10000000,False,False,False,False,online,,False
298,LINK-BTC,LINK,BTC,0.1,6500,0.00000001,0.01,LINK/BTC,0.0001,6.0,False,False,0.10000000,False,False,False,False,online,,False
299,ZRX-EUR,ZRX,EUR,1,600000,0.000001,0.00001,ZRX/EUR,10,100000,False,False,0.10000000,False,False,False,False,online,,False
300,REQ-USDT,REQ,USDT,10,3700000,0.00001,1,REQ/USDT,5,100000,False,False,0.10000000,False,False,False,False,online,,False
301,1INCH-USD,1INCH,USD,0.1,59000,0.001,0.01,1INCH/USD,5,100000,False,False,0.10000000,False,False,False,False,online,,False
302,WCFG-USDT,WCFG,USDT,0.1,240000,0.01,0.01,WCFG/USDT,5,100000,False,False,0.10000000,False,True,False,False,online,,False
303,RLC-BTC,RLC,BTC,0.1,93000,0.0000001,0.01,RLC/BTC,0.0001,2.0,False,False,0.10000000,False,False,False,False,online,,False
304,MASK-EUR,MASK,EUR,0.1,64000,0.01,0.01,MASK/EUR,5.0,100000,False,False,0.10000000,False,False,False,False,online,,False
305,IOTX-BTC,IOTX,BTC,10,13000000,0.00000001,1,IOTX/BTC,0.0001,2,False,False,0.10000000,False,False,False,False,online,,False
306,CGLD-EUR,CGLD,EUR,0.1,34000,0.0001,0.01,CGLD/EUR,1.0,100000,False,False,0.10000000,False,False,False,False,online,,False
307,CLV-EUR,CLV,EUR,0.1,52000,0.01,0.01,CLV/EUR,5.0,100000,False,False,0.10000000,False,False,False,False,online,,False
308,AAVE-EUR,AAVE,EUR,0.01,1200,0.001,0.001,AAVE/EUR,1.0,92000,False,False,0.10000000,False,False,False,False,online,,False
309,SNX-BTC,SNX,BTC,0.1,19000,0.00000001,0.01,SNX/BTC,0.0001,5.1,False,False,0.10000000,False,False,False,False,online,,False
310,ETH-USDT,ETH,USDT,0.001,2800,0.01,0.00000001,ETH/USDT,5,1000000,False,False,0.10000000,False,False,False,False,online,,False
311,MANA-USD,MANA,USD,0.1,220000,0.001,0.01,MANA/USD,5.0,200000,False,False,0.10000000,False,False,False,False,online,,False
312,MIR-BTC,MIR,BTC,0.1,27000,0.0000001,0.01,MIR/BTC,0.0001,2.0,False,False,0.10000000,False,False,False,False,online,,False
313,MIR-GBP,MIR,GBP,0.1,27000,0.001,0.01,MIR/GBP,5.0,100000,False,False,0.10000000,False,False,False,False,online,,False
